country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Afghanistan,,18.3800424016375,-6.24017199240269,357.261152798144,,,,56.0,,,14.1,62.879,40578842.0
Albania,6.72520271530048,37.197084813482,4.82668831434437,6846.42614266044,98.5,96.3712310791016,2.74432992935181,86.0,,,10.137,76.833,2777689.0
Algeria,9.26551551551553,30.8089785470304,3.59999999999998,4961.55257664733,,108.343933105469,4.74924659729004,79.0,,,12.346,77.129,45477389.0
American Samoa,,46.9575200918485,1.73501577287065,18017.4589383973,,,,,,,,,48342.0
Andorra,,,9.56461225648184,42414.0590092117,,90.147346496582,2.64728999137878,98.0,,,,,79705.0
Angola,21.3552901320822,44.391642097512,3.04472652391918,2929.69445467272,72.4000015258789,86.7067961582083,2.3321259021759,37.0,,,14.602,61.929,35635029.0
Antigua and Barbuda,7.53107834634288,54.689582143537,9.51639564359461,20117.7653310355,,,3.6477484703064,99.0,,,,79.236,92840.0
Argentina,,16.248014443903,5.26987967384072,13935.6811110049,,108.722412109375,4.80521011352539,85.0,,40.7,6.805,76.064,45407904.0
Armenia,8.64091108973855,50.2249804603907,12.5999999997766,6571.97445545099,,92.9023818969727,2.4918999671936,95.0,,27.9,13.379,73.372,2969200.0
Aruba,,87.5702798253937,8.51791810517545,30559.5335346581,,104.667572021484,,,,,,74.992,107310.0
Australia,6.59409671341846,25.5315880289865,4.24238555336139,64997.0136536475,,99.1329879760742,5.20677661895752,96.0,,,3.728,83.2,26014399.0
Austria,8.5468699318845,61.9626734104832,5.27789421203715,52176.6649141178,,100.77562713623,4.77447128295898,95.0,,,4.992,81.0926829268293,9041851.0
Azerbaijan,13.8522590144267,59.9868480668076,4.71480236521231,7770.594223351,,99.8082962036133,3.04690003395081,93.0,,,5.65,73.488,10141756.0
"Bahamas, The",5.60540633583044,39.4270880911056,10.7820132001503,33044.388209429,,,2.83657622337341,80.0,,,9.272,74.358,397538.0
Bahrain,3.62574104304482,95.5045713182044,5.98130282177125,30616.2610677495,98.0,92.3441925048828,1.98779726028442,99.0,,,1.326,79.246,1524693.0
Bangladesh,7.69695437176898,12.8822264348985,7.09982877575158,2716.48592677835,,117.659457498739,1.71183669567108,97.0,,33.4,4.593,73.698,169384897.0
Barbados,,,17.8328630251327,22164.0260273876,,95.5793075561523,4.41624021530151,85.0,,,8.365,77.706,282318.0
Belarus,15.209675274081,63.0511868938428,-4.65839591573591,7994.64806074889,,94.7119674682617,4.62823009490967,98.0,,,3.574,73.1114634146342,9228071.0
Belgium,9.597511728725,95.2678018169313,4.2334318336917,50807.2047084918,,102.176986694336,,96.0,,,5.57,81.6975609756098,11680210.0
Belize,6.27689319447544,53.2722099272842,9.65297772389758,7068.45478269722,,99.9364624023438,4.59650993347168,81.0,,,8.763,70.962,402733.0
Benin,1.35077863583527,21.6532095498925,6.25324491401346,1264.70765976655,47.0999984741211,113.04891204834,3.37785911560059,52.0,,,1.685,59.954,13759501.0
Bermuda,,50.463452895894,6.43113399633694,120897.311155385,,85.4245880861851,1.92221343517303,,,,,81.571,64749.0
Bhutan,5.63916671396365,25.4988399719131,5.21386781145085,3711.32767902157,72.0999984741211,106.082127409623,7.46982002258301,97.0,,28.5,5.947,72.229,780914.0
Bolivia,1.74632872945969,32.6115548585963,3.60568038279472,3643.92826968677,,99.5986480712891,7.57550001144409,69.0,,,3.552,64.928,12077154.0
Bosnia and Herzegovina,14.0208440826771,48.307102350834,4.22681101095546,7655.59421024383,98.3000030517578,87.8222198486328,,58.0,,,12.657,75.293,3204802.0
Botswana,11.665567478802,43.5418799471132,5.48602817797183,8329.04032229144,,96.9256945502565,,90.0,,,23.615,65.913,2439892.0
Brazil,9.28010608956873,19.6307650034371,3.01669435393015,9281.33334441234,94.6900024414062,103.970321655273,,81.0,,52.0,9.231,73.425,210306415.0
British Virgin Islands,,,,,,101.18147277832,2.48401999473572,,,,,76.373,38319.0
Brunei Darussalam,3.68225030604216,86.3893569229457,-1.62833154022366,36632.9280421411,,94.5624818507405,,97.0,,,5.191,74.551,455370.0
Bulgaria,15.3252589264366,69.9770907029936,4.03877758301681,13644.201582807,,95.8885192871094,,91.0,,,4.268,74.3609756097561,6643324.0
Burkina Faso,14.2902354303358,31.744842886064,1.4972397409897,836.118304593682,34.4900016784668,82.3567962646484,5.27651214599609,91.0,,,5.389,59.766,22509038.0
Burundi,18.8008786664945,4.9710985076333,1.84899943948213,250.634225368744,75.5400009155273,,4.82104730606079,89.0,,,0.915,61.977,13321097.0
Cabo Verde,7.93092925430087,38.6842542170134,15.843675684642,4323.31362665974,91.0,,4.67288541793823,95.0,,,12.246,74.722,519741.0
Cambodia,5.34370264895437,72.2070606780988,5.10336888677125,2325.03050040841,83.7799987792969,109.959079096814,2.88349270820618,83.0,,,0.231,69.896,17201724.0
Cameroon,6.24767713343861,19.321813317909,3.7367840056412,1604.87726954895,,110.715507507324,2.61768436431885,68.0,,,3.653,60.958,27632771.0
Canada,6.80280115341613,33.8450475582139,3.81986633913397,55509.393176404,,96.0115737915039,4.13957166671753,92.0,11.15471363,,5.279,81.2956097560976,38939056.0
Cayman Islands,,,5.15632954248333,92202.1478031576,,87.6824264526367,1.48894000053406,,,,,,71591.0
Central African Republic,5.58316735183247,12.3004999986493,0.502110003427035,467.359825026238,,,2.11509132385254,41.0,,,5.956,54.477,5098039.0
Chad,5.78802687843616,49.3201339326375,2.80434074839411,671.720147647873,27.2800006866455,90.3641204833984,2.53867292404175,54.0,,37.4,1.096,52.997,18455316.0
Channel Islands,,,5.34196183115412,67627.3082341446,,,,,,,6.147,81.583,167215.0
Chile,11.6438667110561,35.515107072528,2.05874008095333,15451.1319576678,97.1600036621094,100.192268371582,,94.0,9.00162983,43.0,8.249,79.519,19553036.0
China,1.97357555739051,20.7914830663638,2.95066992959268,12662.5826712038,,100.171730041504,4.02356958389282,99.0,,,4.98,78.587,1412175000.0
Colombia,10.1772313546166,20.2324003888988,7.2888838865514,6674.59601948063,,104.830467224121,,88.0,,54.8,10.547,73.659,51737944.0
Comoros,,12.7160796545449,2.60301031927843,1489.49566257969,61.7099990844727,,2.43164420127869,71.0,,,3.816,63.68,834188.0
"Congo, Dem. Rep.",,45.4979499673544,8.92444762563109,642.612265820033,80.5400009155273,,3.002521276474,56.0,,,4.522,59.743,102396968.0
"Congo, Rep.",3.04344334698478,63.8121468562925,1.47535613247133,2620.83804267402,,,2.95159220695496,65.0,,,20.108,63.053,6035104.0
Costa Rica,8.27477490232654,42.4051961144394,4.55149177958398,13625.9008491328,,107.611297607422,,90.0,,47.2,11.325,77.32,5081765.0
Cote d'Ivoire,5.27616724262846,24.5266423324517,6.2178509127107,2308.70654660366,,94.6489410400391,3.51197004318237,62.0,,,2.306,58.916,30395002.0
Croatia,10.7805806758686,59.4969715136887,7.28793643206565,18466.0955472648,,100.527976989746,,90.0,,,6.96,77.5756097560976,3855641.0
Cuba,,40.0139049760333,1.77485399483382,,,99.8729629516602,,99.0,,,1.82,78.155,11059820.0
Curacao,,,6.90599999999999,20501.7522782219,,,,,,,,,149996.0
Cyprus,8.39548297993334,102.228352655371,7.36562252428676,33938.9453125,,97.0016403198242,,84.0,,,6.806,81.889,1331370.0
Czechia,15.1001651468371,72.4094281428088,2.84717065717149,28282.2236715857,,100.97534942627,,97.0,,,2.224,79.0292682926829,10672118.0
Denmark,7.6965669988926,70.5484698289144,1.54017310709567,68091.3191138669,,100.244453430176,5.29643440246582,95.0,9.5,,4.434,81.3048780487805,5903037.0
Djibouti,5.17980847967061,169.000456477795,3.72857647005031,3231.30015326477,,,,50.0,,,26.307,62.859,1137096.0
Dominica,7.7806152516404,,5.58354626264079,9085.67412772363,,91.8765411376953,6.04314231872559,87.0,,,,72.981,66826.0
Dominican Republic,8.81109209279587,22.0627315413808,4.85832403582451,10109.5234003521,95.5,100.492286682129,3.94027137756348,91.0,,37.0,5.504,74.17,11230734.0
Ecuador,3.46616972213077,30.7865967428238,6.18613907258741,6540.99824522101,94.0,99.5941925048828,3.59897994995117,74.0,,45.5,3.761,77.894,17823897.0
"Egypt, Arab Rep.",13.8956609775178,15.0870258208479,6.58784560886967,4233.30783744856,74.5,91.5901794433594,,96.0,,,7.344,70.159,112618250.0
El Salvador,7.19861615609867,31.665057776255,2.79955216943868,5093.51833879776,,89.3291473388672,3.25634002685547,80.0,,38.8,2.999,71.475,6280319.0
Equatorial Guinea,4.78671704710803,52.9670852025114,3.22350831658598,7589.29964909381,,,,49.0,,,8.455,61.19,1803545.0
Eritrea,,,,,,82.9708480834961,,93.0,,,5.695,66.604,3409447.0
Estonia,19.3982634080616,86.6638366613108,0.0604278323325786,28451.1477825175,,99.2638168334961,,89.0,6.94306278,,5.571,77.9439024390244,1348840.0
